iter	Passed	Remaining
731	1952	714
732	1953	711
733	1955	708
734	1956	705
735	1957	702
736	1958	699
737	1963	697
738	1965	694
739	1967	691
740	1969	688
741	1970	685
742	1972	682
743	1974	679
744	1976	676
745	1979	673
746	1981	671
747	1982	668
748	1984	665
749	1986	662
750	1988	659
751	1991	656
752	1993	653
753	1996	651
754	1997	648
755	1999	645
756	2000	642
757	2001	639
758	2003	636
759	2005	633
760	2007	630
761	2010	627
762	2012	625
763	2014	622
764	2015	619
765	2017	616
766	2018	613
767	2020	610
768	2022	607
769	2024	604
770	2026	601
771	2028	599
772	2029	596
773	2030	593
774	2032	590
775	2033	587
776	2035	584
777	2038	581
778	2040	578
779	2042	575
780	2043	572
781	2044	569
782	2045	566
783	2046	563
784	2047	560
785	2048	557
786	2050	555
787	2053	552
788	2056	549
789	2057	546
790	2059	544
791	2060	541
792	2062	538
793	2063	535
794	2064	532
795	2067	529
796	2070	527
797	2072	524
798	2073	521
799	2074	518
800	2075	515
801	2076	512
802	2077	509
803	2079	506
804	2082	504
805	2085	501
806	2087	499
807	2088	496
808	2089	493
809	2091	490
810	2092	487
811	2093	484
812	2095	481
813	2098	479
814	2100	476
815	2102	474
816	2104	471
817	2105	468
818	2106	465
819	2108	462
820	2109	460
821	2111	457
822	2114	454
823	2116	452
824	2118	449
825	2119	446
826	2120	443
827	2121	440
828	2123	437
829	2124	435
830	2126	432
831	2128	429
832	2131	427
833	2132	424
834	2134	421
835	2135	418
836	2137	416
837	2138	413
838	2140	410
839	2142	408
840	2145	405
841	2147	403
842	2149	400
843	2150	397
844	2151	394
845	2152	391
846	2154	389
847	2155	386
848	2159	384
849	2161	381
850	2163	378
851	2164	376
852	2166	373
853	2168	370
854	2169	367
855	2170	365
856	2173	362
857	2175	360
858	2177	357
859	2179	354
860	2181	352
861	2182	349
862	2185	346
863	2187	344
864	2190	341
865	2192	339
866	2194	336
867	2196	333
868	2197	331
869	2199	328
870	2201	326
871	2205	323
872	2207	321
873	2209	318
874	2211	315
875	2212	313
876	2214	310
877	2215	307
878	2220	305
879	2222	303
880	2224	300
881	2225	297
882	2227	295
883	2228	292
884	2230	289
885	2233	287
886	2236	284
887	2239	282
888	2242	279
889	2243	277
890	2245	274
891	2247	272
892	2251	269
893	2253	267
894	2254	264
895	2256	261
896	2257	259
897	2258	256
898	2261	254
899	2264	251
900	2267	249
901	2268	246
902	2270	243
903	2271	241
904	2273	238
905	2274	235
906	2275	233
907	2277	230
908	2280	228
909	2282	225
910	2284	223
911	2286	220
912	2287	218
913	2289	215
914	2290	212
915	2293	210
916	2296	207
917	2298	205
918	2299	202
919	2301	200
920	2302	197
921	2303	194
922	2305	192
923	2308	189
924	2311	187
925	2313	184
926	2315	182
927	2316	179
928	2317	177
929	2319	174
930	2320	171
931	2323	169
932	2326	167
933	2329	164
934	2331	162
935	2332	159
936	2333	156
937	2335	154
938	2338	151
939	2341	149
940	2343	146
941	2345	144
942	2346	141
943	2348	139
944	2349	136
945	2350	134
946	2353	131
947	2357	129
948	2359	126
949	2361	124
950	2362	121
951	2364	119
952	2367	116
953	2371	114
954	2374	111
955	2376	109
956	2377	106
957	2378	104
958	2380	101
959	2383	99
960	2387	96
961	2389	94
962	2391	91
963	2392	89
964	2394	86
965	2397	84
966	2400	81
967	2403	79
968	2405	76
969	2406	74
970	2408	71
971	2410	69
972	2414	67
973	2418	64
974	2420	62
975	2422	59
976	2423	57
977	2425	54
978	2428	52
979	2431	49
980	2434	47
981	2436	44
982	2437	42
983	2438	39
984	2440	37
985	2445	34
986	2448	32
987	2449	29
988	2451	27
989	2453	24
990	2454	22
991	2458	19
992	2462	17
993	2464	14
994	2466	12
995	2468	9
996	2470	7
997	2474	4
998	2477	2
999	2479	0
